id,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9
0,5,4,4,5,5,4,5,1,5,2
1,2,7,4,4,3,3,7,1,1,6
2,4,6,6,4,5,4,1,6,3,1
3,5,6,7,7,2,6,7,6,4,4
4,2,2,4,4,5,5,2,6,2,3
5,4,1,4,1,6,4,5,5,2,6
6,5,5,3,3,6,3,1,7,7,3
7,4,2,4,6,5,5,2,7,3,2
8,6,6,6,6,6,6,6,1,4,5
9,1,6,7,7,4,1,3,5,3,2
10,3,2,2,3,4,1,5,2,3,1
11,1,4,3,6,1,5,3,2,5,4
12,5,1,4,5,1,1,7,1,6,5
13,6,1,2,3,4,6,1,4,2,7
14,2,5,4,3,5,1,6,3,3,2
15,2,2,4,5,6,4,3,4,5,7
16,1,4,6,7,7,7,6,2,6,6
17,4,4,1,7,1,6,6,1,1,4
18,1,4,1,4,7,4,4,4,7,3
19,1,4,1,7,4,6,2,4,7,5
20,4,1,7,6,2,5,5,2,1,7
21,3,1,7,1,3,1,1,4,4,5
22,2,4,7,5,7,3,5,6,2,2
23,7,4,5,6,2,4,7,4,3,1
24,7,4,7,1,2,3,3,5,1,4
25,2,2,3,7,5,1,4,4,1,2
26,2,7,3,5,7,4,2,4,2,4
27,3,6,2,6,6,1,6,2,2,5
28,5,3,2,4,6,1,2,4,3,3
29,4,2,3,1,1,5,5,6,7,3
30,7,3,1,1,1,7,4,6,7,6
31,4,5,3,3,6,6,4,2,6,2
32,5,1,1,4,5,4,2,4,4,2
33,4,1,4,4,6,1,4,4,7,1
34,3,1,5,5,5,4,5,5,1,3
